file_name,grade_term,unit,concept_id,prob_type,main_num,sub_num,answer
2-1_U1_C01_Q_01.png,02-01,U1,C01,Q,1,,
2-1_U1_C01_E_1-1.png,02-01,U1,C01,E,1,1,67
2-1_U1_C01_E_1-2.png,02-01,U1,C01,E,1,2,441
2-1_U1_C01_E_1-3.png,02-01,U1,C01,E,1,3,15
2-1_U1_C01_M_01.png,02-01,U1,C01,M,1,,3
2-1_U1_C01_M_02.png,02-01,U1,C01,M,2,,38
2-1_U1_C01_M_03.png,02-01,U1,C01,M,3,,6
2-1_U1_C01_M_04.png,02-01,U1,C01,M,4,,12
2-1_U1_C01_M_05.png,02-01,U1,C01,M,5,,"a=9, b=40"
2-1_U1_C01_M_06.png,02-01,U1,C01,M,6,,22
2-1_U1_C01_W_01.png,02-01,U1,C01,W,1,,"4, 5"
2-1_U1_C01_W_02.png,02-01,U1,C01,W,2,,"2, 3, 7"
2-1_U1_C01_W_03.png,02-01,U1,C01,W,3,,6
2-1_U1_C01_W_04.png,02-01,U1,C01,W,4,,77
2-1_U1_C01_W_05.png,02-01,U1,C01,W,5,,16
2-1_U1_C01_W_06.png,02-01,U1,C01,W,6,,113
2-1_U1_C01_W_07.png,02-01,U1,C01,W,7,,12개
2-1_U1_C01_W_08.png,02-01,U1,C01,W,8,,"231, 462, 693, 924"
2-1_U1_C01_W_09.png,02-01,U1,C01,W,9,,9개
2-1_U1_C01_W_10.png,02-01,U1,C01,W,10,,5개
2-1_U1_C01_W_11.png,02-01,U1,C01,W,11,,57
2-1_U1_C01_W_12.png,02-01,U1,C01,W,12,,"29, 26"
2-1_U1_C01_W_13.png,02-01,U1,C01,W,13,,31개
2-1_U1_C01_W_14.png,02-01,U1,C01,W,14,,567
2-1_U1_C01_W_15.png,02-01,U1,C01,W,15,,23가지
2-1_U1_C01_W_16.png,02-01,U1,C01,W,16,,85개
2-1_U1_C02_Q_01.png,02-01,U1,C02,Q,1,,(1) 0.615384 (순환마디 615384
2-1_U1_C02_E_2-1.png,02-01,U1,C02,E,2,1,"1, 3, 4, 9, 10, 12"
2-1_U1_C02_E_2-2.png,02-01,U1,C02,E,2,2,"0.123456789101112..., 0.11235813213455..."
2-1_U1_C02_E_2-3.png,02-01,U1,C02,E,2,3,
2-1_U1_C02_E_2-4.png,02-01,U1,C02,E,2,4,a=b
2-1_U1_C02_M_01.png,02-01,U1,C02,M,1,,2
2-1_U1_C02_M_02.png,02-01,U1,C02,M,2,,3
2-1_U1_C02_M_03.png,02-01,U1,C02,M,3,,"(ㄱ), (ㄴ), (ㄷ)"
2-1_U1_C02_M_04.png,02-01,U1,C02,M,4,,9쌍
2-1_U1_C02_M_05.png,02-01,U1,C02,M,5,,9092
2-1_U1_C02_M_06.png,02-01,U1,C02,M,6,,0.714285 (순환마디 714285)
2-1_U1_C02_W_17.png,02-01,U1,C02,W,17,,4
2-1_U1_C02_W_18.png,02-01,U1,C02,W,18,,"(1) 0.7, 7 (2)0.90, 90  (3) 0.428571 , 428571 (4)0.740, 740"
2-1_U1_C02_W_19.png,02-01,U1,C02,W,19,,"(1) 5.9(순9), (2) 999.9(순9), 7.529(순9), 1.9909(순9)"
2-1_U1_C02_W_20.png,02-01,U1,C02,W,20,,4
2-1_U1_C02_W_21.png,02-01,U1,C02,W,21,,"4, 5"
2-1_U1_C02_W_22.png,02-01,U1,C02,W,22,,"ㄱ, ㅇ"
2-1_U1_C02_W_23.png,02-01,U1,C02,W,23,,"(ㄱ), (ㄷ)"
2-1_U1_C02_W_24.png,02-01,U1,C02,W,24,,9
2-1_U1_C02_W_25.png,02-01,U1,C02,W,25,,329
2-1_U1_C02_W_26.png,02-01,U1,C02,W,26,,27
2-1_U1_C02_W_27.png,02-01,U1,C02,W,27,,27개
2-1_U1_C02_W_28.png,02-01,U1,C02,W,28,,18
2-1_U1_C02_W_29.png,02-01,U1,C02,W,29,,6
2-1_U1_C02_W_30.png,02-01,U1,C02,W,30,,"A=0.0714285 (순환마디85), B=0.0714285 (순환마디:0714285)"
2-1_U1_C02_W_31.png,02-01,U1,C02,W,31,,"1, 4, 10, 13, 16, 19"
2-1_U1_C02_W_32.png,02-01,U1,C02,W,32,,②
2-1_U1_C03_Q_01.png,02-01,U1,C03,Q,1,,①104/333 ②2918/12375 (2) 14
2-1_U1_C03_E_3-1.png,02-01,U1,C03,E,3,1,(1) 13716/1111 (2) 5111/900
2-1_U1_C03_E_3-2.png,02-01,U1,C03,E,3,2,5
2-1_U1_C03_E_3-3.png,02-01,U1,C03,E,3,3,6
2-1_U1_C03_M_01.png,02-01,U1,C03,M,1,,27
2-1_U1_C03_M_02.png,02-01,U1,C03,M,2,,"②, ⑤"
2-1_U1_C03_M_03.png,02-01,U1,C03,M,3,,18
2-1_U1_C03_M_04.png,02-01,U1,C03,M,4,,14
2-1_U1_C03_M_05.png,02-01,U1,C03,M,5,,101
2-1_U1_C03_M_06.png,02-01,U1,C03,M,6,,0.209 (순환마디 09)
2-1_U1_C03_W_33.png,02-01,U1,C03,W,33,,"②, ④"
2-1_U1_C03_W_34.png,02-01,U1,C03,W,34,,③
2-1_U1_C03_W_35.png,02-01,U1,C03,W,35,,"(1) 23/99, (2) 3629/4995, (3) 1648/495"
2-1_U1_C03_W_36.png,02-01,U1,C03,W,36,,423
2-1_U1_C03_W_37.png,02-01,U1,C03,W,37,,"a=1, b=3, c=6, d=7, e=8"
2-1_U1_C03_W_38.png,02-01,U1,C03,W,38,,"(1) 0.1324(순환마디24), (2)38.663(순환63)"
2-1_U1_C03_W_39.png,02-01,U1,C03,W,39,,"ㄱ, ㄴ, ㄷ, ㅅ, ㅇ"
2-1_U1_C03_W_40.png,02-01,U1,C03,W,40,,2
2-1_U1_C03_W_41.png,02-01,U1,C03,W,41,,5
2-1_U1_C03_W_42.png,02-01,U1,C03,W,42,,19/4
2-1_U1_C03_W_43.png,02-01,U1,C03,W,43,,0.12 (순환12)
2-1_U1_C03_W_44.png,02-01,U1,C03,W,44,,"15, 45/2"
2-1_U1_C03_W_45.png,02-01,U1,C03,W,45,,5
2-1_U1_C03_W_46.png,02-01,U1,C03,W,46,,3
2-1_U1_C03_W_47.png,02-01,U1,C03,W,47,,60
2-1_U1_C03_W_48.png,02-01,U1,C03,W,48,,2.46 (순6)
2-1_U1_C03_W_49.png,02-01,U1,C03,W,49,,2.8(순8)
2-1_U1_C03_W_50.png,02-01,U1,C03,W,50,,932
2-1_U1_C03_W_51.png,02-01,U1,C03,W,51,,1.027 (순7)
